"drug","n_users","iacb_status","boustani_score","boustani_status"
"megestrol",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"meprobamate",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"metaxalone",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"metformin; pioglitazone",2,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"metformin; saxagliptin",2,"c. combination, partially resolved",0,"c. combination, fully resolved"
"mirabegron",2,"d. unscored (not on list)",0,"a. confirmed score zero"
"mycophenolate mofetil",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"olopatadine nasal",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"olopatadine ophthalmic",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"omeprazole; sodium bicarbonate",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ondansetron",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"oxaprozin",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"phenobarbital",2,"d. unscored (not on list)",0,"a. confirmed score zero"
"prasugrel",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"propafenone",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"quinine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rifaximin",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"roflumilast",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sildenafil",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"silodosin",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sodium chloride",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sulindac",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"trandolapril",2,"d. unscored (not on list)",0,"a. confirmed score zero"
"triamcinolone topical",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ursodiol",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"zaleplon",2,"d. unscored (not on list)",0,"a. confirmed score zero"
"zoledronic acid",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"abiraterone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acetazolamide",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"aflibercept ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"alcaftadine ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"alendronate; cholecalciferol",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amlodipine; atorvastatin",1,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"ampicillin",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"anastrozole",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"antacids - unspecified",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"anti-infectives - unspecified",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"arformoterol",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"azelastine ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"azilsartan",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"bacitracin topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"benzoyl peroxide topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"besifloxacin ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"betamethasone; clotrimazole topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"betaxolol",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"bicalutamide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"bisacodyl",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"budesonide nasal",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"calcipotriene topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"calcitonin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"capecitabine",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"capsaicin topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"captopril; hydrochlorothiazide",1,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"cardiovascular agents - unspecified",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"chlordiazepoxide; clidinium",1,"d. unscored (not on list)",1,"c. combination, fully resolved"
"chlorpheniramine; hydrocodone",1,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"chlorzoxazone",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"ciclesonide nasal",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ciclopirox topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"codeine",1,"d. unscored (not on list)",1,"b. exact match"
"collagenase topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"corticotropin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dapagliflozin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"desmopressin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"desonide topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"desvenlafaxine",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"dexamethasone; tobramycin ophthalmic",1,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"diuretics - unspecified",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dofetilide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dronabinol",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"efavirenz; emtricitabine; tenofovir",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"emtricitabine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"enoxaparin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"eplerenone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"erythromycin ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"estradiol; norethindrone",1,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"estrone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ethinyl estradiol; norethindrone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"etravirine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fingolimod",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fludrocortisone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fluocinolone otic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fluocinonide topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fluticasone; vilanterol",1,"d. unscored (not on list)",0,"c. combination, fully resolved"
"fosinopril; hydrochlorothiazide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"frovatriptan",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"gatifloxacin ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"halcinonide topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydralazine; isosorbide dinitrate",1,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"hydrochlorothiazide; irbesartan",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide; spironolactone",1,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"hydrocodone; ibuprofen",1,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"hydrocortisone topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrocortisone; neomycin; polymyxin b otic",1,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"imatinib",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"indacaterol",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"ketoconazole topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ketorolac ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lactic acid topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lapatinib",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"leuprolide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"levobunolol ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"levofloxacin",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"linaclotide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
